t[s],Converged,Pload,P7 (csv),Unresp (opf),P7 (rpf),Resp (opf),GLD Pub,BID?,P7 Min,V7,LMP_P7,LMP_Q7,Pgen1,Pgen2,Pgen3,Pgen4,Pdisp,Deg,c2,c1
0,True,315.000,100.000,0.000,100.000,-0.000,0.000,False,0.000,0.984,14.065,0.000,212.76,68.87,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
15,True,328.443,100.000,0.000,113.443,-0.000,13.443,False,0.000,0.983,14.065,0.000,212.76,82.50,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
30,True,328.433,100.000,0.000,113.433,-0.000,13.433,False,0.000,0.983,14.065,0.000,212.76,82.48,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
45,True,328.433,100.000,0.000,113.433,-0.000,13.433,False,0.000,0.983,14.065,0.000,212.76,82.48,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
60,True,328.433,100.000,0.000,113.433,-0.000,13.433,False,0.000,0.983,14.065,0.000,212.76,82.48,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
75,True,328.433,100.000,0.000,113.433,-0.000,13.433,False,0.000,0.983,14.065,0.000,212.76,82.48,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
90,True,328.292,100.000,0.000,113.292,-0.000,13.292,False,0.000,0.983,14.065,0.000,212.76,82.34,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
105,True,328.221,100.000,0.000,113.221,-0.000,13.221,False,0.000,0.983,14.065,0.000,212.76,82.27,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
120,True,328.221,100.000,0.000,113.221,-0.000,13.221,False,0.000,0.983,14.065,0.000,212.76,82.27,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
135,True,328.221,100.000,0.000,113.221,-0.000,13.221,False,0.000,0.983,14.065,0.000,212.76,82.27,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
150,True,328.221,100.000,0.000,113.221,-0.000,13.221,False,0.000,0.983,14.065,0.000,212.76,82.27,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
165,True,328.221,100.000,0.000,113.221,-0.000,13.221,False,0.000,0.983,14.065,0.000,212.76,82.27,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
180,True,328.221,100.000,0.000,113.221,-0.000,13.221,False,0.000,0.983,14.065,0.000,212.76,82.27,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
195,True,328.221,100.000,0.000,113.221,-0.000,13.221,False,0.000,0.983,14.065,0.000,212.76,82.27,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
210,True,328.221,100.000,0.000,113.221,-0.000,13.221,False,0.000,0.983,14.065,0.000,212.76,82.27,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
225,True,328.221,100.000,0.000,113.221,-0.000,13.221,False,0.000,0.983,14.065,0.000,212.76,82.27,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
240,True,328.221,100.000,0.000,113.221,-0.000,13.221,False,0.000,0.983,14.065,0.000,212.76,82.27,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
255,True,328.221,100.000,0.000,113.221,-0.000,13.221,False,0.000,0.983,14.065,0.000,212.76,82.27,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
270,True,328.221,100.000,0.000,113.221,-0.000,13.221,False,0.000,0.983,14.065,0.000,212.76,82.27,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
285,True,327.009,99.563,0.000,112.784,-0.000,13.221,False,0.000,0.982,14.516,0.000,220.27,71.90,39.00,0.00,0.00,0.0000,999.00000000,0.00000000
300,True,327.007,99.563,0.000,112.782,-0.000,13.219,False,0.000,0.982,14.516,0.000,220.27,71.90,39.00,0.00,0.00,0.0000,999.00000000,0.00000000
315,True,327.372,99.563,0.000,113.147,-0.000,13.584,False,0.000,0.982,14.516,0.000,220.27,72.27,39.00,0.00,0.00,0.0000,999.00000000,0.00000000
